DataID,Match ID,Team,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Press,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgDist,Carries,PrgDist,Succ,Att,Home Or Away,Crowd,Year
72,20-0802,Aston Villa,5,5,0,1,21,10,3,0,515,154,17,9,23,2.9,2.1,1.5,35,10,291,375,77.6,2379,295,1002,9,13,A,Yes,20
73,20-0803,Everton,0,0,0,0,11,2,3,1,608,142,8,6,16,0.9,0.9,0.3,15,0,387,515,75.1,2644,338,1227,8,14,A,Yes,20
74,20-0804,Leicester City,1,1,0,0,2,1,4,0,607,187,14,9,21,0.1,0.1,0.1,2,2,364,488,74.6,2515,373,1078,14,22,A,Yes,20
75,20-0805,Sheffield Utd,0,0,0,0,9,2,2,0,723,121,22,6,9,0.5,0.5,0.2,12,0,489,612,79.9,2695,514,1231,6,10,A,Yes,20
76,20-0806,Crystal Palace,1,1,0,0,9,4,3,0,651,205,30,5,16,1.3,1.3,1.1,12,2,449,543,82.7,2495,413,1248,7,12,A,Yes,20
77,20-0807,Bournemouth,0,0,0,0,10,2,2,0,595,249,20,3,28,0.5,0.5,0.4,14,0,344,442,77.8,2801,348,985,14,24,A,Yes,20
78,20-0808,Wolves,2,2,0,0,7,2,2,0,383,215,26,10,23,1.6,1.6,1.3,12,4,156,232,67.2,1466,177,816,13,19,A,Yes,20
79,20-0809,Chelsea,4,4,0,0,14,7,1,0,681,160,27,9,17,1.9,1.9,1.9,24,7,422,549,76.9,2694,461,973,9,16,A,Yes,20
80,20-0810,Manchester Utd,0,0,0,0,12,2,3,0,716,102,15,4,11,0.6,0.6,0.5,21,0,532,632,84.2,2823,517,1957,3,9,A,Yes,20
81,20-0901,West Ham,0,0,0,0,9,4,2,0,549,181,16,8,20,0.9,0.9,0.4,14,0,297,405,73.3,2480,325,941,8,10,A,Yes,20
82,20-0902,Norwich City,0,0,0,0,10,1,3,0,635,152,11,7,19,0.4,0.4,0.4,19,0,414,505,82,2884,441,1198,12,18,A,Yes,20
83,20-0903,Brighton,1,1,0,0,20,6,4,1,620,191,10,12,15,1.2,1.2,1.1,32,2,427,514,83.1,2855,407,1568,7,9,A,Yes,20
84,20-0904,Newcastle Utd,0,0,0,0,5,0,1,0,409,220,15,13,14,0.3,0.3,0.3,8,0,192,279,68.8,1568,181,712,6,8,A,Yes,20
85,20-0905,Southampton,1,0,0,0,14,5,2,0,526,128,16,11,10,1.6,1.6,0.8,19,0,305,399,76.4,2125,304,980,12,22,A,Yes,20
86,20-0906,Watford,1,1,0,0,7,2,3,0,475,195,23,12,22,0.8,0.8,0.6,13,2,222,323,68.7,1482,252,858,9,11,A,Yes,20
87,20-0907,Burnley,1,1,0,0,13,4,3,0,479,179,16,8,24,1.5,1.5,0.8,16,2,263,355,74.1,2286,213,553,8,21,A,Yes,20
88,20-0908,Manchester City,2,2,0,0,21,9,1,0,833,117,14,9,5,2.2,2.2,2.1,37,4,625,718,87,3206,604,2150,19,27,A,Yes,20
89,20-0909,Liverpool,1,1,0,0,10,4,1,0,799,138,22,9,15,1.1,1.1,1.1,17,2,551,651,84.6,3399,548,1471,8,12,A,Yes,20
90,20-0910,Arsenal,0,0,0,0,9,3,4,0,773,95,17,5,15,0.8,0.8,0.8,16,0,562,665,84.5,3202,568,1674,19,26,A,Yes,20
91,20-1001,Leicester City,9,4,1,1,23,15,0,0,855,159,26,5,11,3.8,3,1.7,40,14,640,736,87,3560,598,1672,24,34,A,Yes,20
92,20-1002,Aston Villa,0,0,0,0,11,5,1,0,490,83,8,11,18,0.9,0.9,0.3,15,0,286,362,79,2092,304,986,10,14,A,Yes,20
93,20-1003,Sheffield Utd,1,1,0,0,11,4,2,0,507,140,8,4,19,1.9,1.9,1.1,18,1,275,381,72.2,1811,289,926,15,20,A,Yes,20
94,20-1004,Everton,1,1,0,0,10,6,1,0,574,173,16,16,13,0.7,0.7,0.6,17,4,369,463,79.7,2484,401,1178,3,11,A,Yes,20
95,20-1005,Bournemouth,0,0,0,0,15,5,3,0,670,147,18,6,13,1.1,1.1,0.9,25,0,456,559,81.6,2989,426,1418,13,22,A,Yes,20
96,20-1006,Chelsea,4,3,0,0,16,7,2,0,835,204,13,7,16,1,1,0.4,22,4,599,703,85.2,3132,583,1671,13,19,A,Yes,20
97,20-1007,Wolves,1,0,0,0,14,5,2,0,688,113,19,10,20,1,1,0.7,25,2,470,565,83.2,2609,451,1545,14,21,A,Yes,20
98,20-1008,Crystal Palace,2,1,1,1,9,3,0,0,499,176,16,7,15,1.7,0.9,0.8,18,4,278,365,76.2,2460,276,939,10,21,A,Yes,20
99,20-1009,Manchester Utd,3,2,0,2,19,9,2,0,648,147,27,8,12,4.1,2.6,2,27,4,427,518,82.4,2454,458,1468,21,34,A,Yes,20
100,20-1010,Tottenham,1,0,0,0,11,4,3,0,472,153,18,2,22,1.4,1.4,0.9,17,1,223,332,67.2,1861,257,710,7,15,A,Yes,20
101,20-1101,Manchester Utd,0,0,0,0,15,4,3,0,655,117,19,8,19,0.7,0.7,0.7,27,0,406,532,76.3,2421,450,1321,13,18,A,Yes,20
102,20-1102,Burnley,0,0,0,0,6,1,2,0,608,129,7,2,17,0.8,0.8,0.2,9,0,372,504,73.8,2561,372,952,2,8,A,Yes,20
103,20-1103,Norwich City,2,2,0,0,20,5,0,0,686,116,18,10,11,2.4,2.4,1.3,29,4,480,572,83.9,3145,513,1679,12,17,A,Yes,20
104,20-1104,Southampton,1,0,0,0,3,3,1,0,428,200,26,8,41,0.7,0.7,0.1,5,1,157,249,63.1,1391,178,650,13,23,A,Yes,20
105,20-1105,Liverpool,2,2,0,0,25,6,2,0,835,118,18,6,13,2.6,2.6,2.3,42,4,569,685,83.1,3335,585,1728,6,14,A,Yes,20
106,20-1106,Wolves,1,1,0,0,25,8,2,0,560,210,18,7,15,1.6,1.6,1.1,37,2,327,426,76.8,2573,343,1372,10,18,A,Yes,20
107,20-1107,Newcastle Utd,3,2,0,0,12,9,1,0,405,129,15,16,15,1.7,1.7,1.6,17,6,177,273,64.8,2001,202,991,14,21,A,Yes,20
108,20-1108,Chelsea,2,2,0,0,16,10,2,0,933,198,19,7,22,2.6,2.6,1.9,25,4,721,807,89.3,3251,677,2019,12,14,A,Yes,20
109,20-1109,Leicester City,2,1,0,0,14,5,2,0,590,185,20,9,13,1.4,1.4,0.9,25,2,382,470,81.3,2727,383,1126,8,15,A,Yes,20
110,20-1110,Tottenham,1,1,0,0,4,2,2,1,606,154,26,8,25,0.5,0.5,0.5,8,2,372,474,78.5,2443,356,1025,14,26,A,Yes,20
111,20-1201,Watford,2,1,0,0,12,2,4,1,473,249,28,10,22,0.8,0.8,0.6,20,3,245,332,73.8,2021,290,984,15,21,A,Yes,20
112,20-1202,Crystal Palace,0,0,0,0,3,1,2,0,525,188,23,7,21,0.2,0.2,0.2,6,0,310,389,79.7,2317,304,771,11,17,A,Yes,20
113,20-1203,Bournemouth,1,1,0,0,15,3,0,0,722,162,13,8,15,2.3,2.3,1.3,21,2,492,582,84.5,3032,498,1460,12,18,A,Yes,20
